ma_vt,ma_vt2,gia_nt2
KGB48001400     ,KG6303          ,660000
KGB48001400     ,KG6303          ,726000
KGB48002900     ,KG6305PN        ,1155000
KGE05001400     ,KG65            ,3333000
KGE05001600     ,KG60            ,3300000
KGE05003000     ,KG664Y          ,2860000
KGE05003200     ,KG665Y          ,3000000
KGE05004500     ,KG818N          ,2750000
KGE05004800     ,KG816N          ,2100000
KGE05005200     ,KG69A2          ,2092500
KGE05005300     ,KG69A2N         ,0
KGE05005600     ,KG68A2          ,0
KGE05005800     ,KG518           ,0
KGE05006100     ,KG516N          ,2920000
KGE05006300     ,KG68A3          ,0
KGE05006300     ,KG68A3          ,3993000
KGE05006700     ,KG64P           ,2620000
KGE05007700     ,KG588WP         ,5000000
KGE05008000     ,KG70A3          ,3872000
KGE05009400     ,KG77A2          ,1650000
KGE05010100     ,KG78S3          ,1800000
KGE18004501     ,KGE18004501     ,5320000
KGE18004600     ,PT1618          ,8300000
KGE18004800     ,PT2022          ,7350000
KGE18004900     ,PT2426          ,12705000
KGE18005700     ,GD1414          ,6770000
KGE18005702     ,KGE18005702     ,7220000
KGE18005802     ,KGE18005802     ,8690000
KGE18005900     ,GD1818          ,7980000
KGE18005904     ,KGE18005904     ,8778000
KGH03002007     ,KG-118VTU       ,5280000
KGH03004500     ,KG104A          ,4224000
KGH03004504     ,KG-104          ,3840000
KGH03004800     ,KG108A          ,4900000
KGH03004900     ,KG109A          ,4680000
KGH03004904     ,KG109AVTU       ,4089600
KGH03005202     ,KG100HQVTU      ,6270000
KGH03005400     ,VTUDEN          ,792000
KGH03005502     ,KG100HAVTU      ,6237000
KGH03006401     ,KG110AVTU       ,6116000
KGH03006500     ,KG-110          ,4950000
KGH03006801     ,KG01G4VTU       ,4370000
KGH03006900     ,KG02G4          ,4240000
KGH03007201     ,KG100HPVTU      ,6710000
KGH03008501     ,KG09A3VTU       ,5550000
KGH03008601     ,KG10A3VTU       ,6790000
KGH03009700     ,KG100HCVTU      ,9999000
KGH03009801     ,KG18BLUEVTU     ,7249000
KGH03010000     ,VTUDIADV        ,720000
KGH03010601     ,KG19A3VTU       ,5550615
KGH03010801     ,KG10G4VTU       ,6358000
KGH03011600     ,KG09G4          ,5000000
KGH03011801     ,KG08G4VTU       ,5000000
KGH03012001     ,KG06G4VTU       ,4200000
KGH03012801     ,KG100HKVTU      ,8759270
KGH03014700     ,KG07G4VTU       ,3641600
KGH03015000     ,K1358           ,1375880
KGH03015500     ,K5358           ,4932400
KGH03016700     ,KG100MED        ,0
KGH03016700     ,KG100MED        ,9105300
KGH03017100     ,KG100ES         ,9559000
KGH03021800     ,KG100ES1        ,6176000
KGH03023500     ,KGH03023500     ,166650000
KGW44001600     ,KG298C2         ,5800000
KGW44001600     ,KG298C2         ,7500000
KGW44001600     ,KG298C2         ,8250000
KGW44008400     ,KG400IC2        ,10857000
KGW44008800     ,KG320NC2        ,7900000
KGW44010700     ,KG268DM2        ,9669000
KGW44011200     ,KG398DM2        ,6160000
KPG22033400     ,KPG22033400     ,1013650
SPH0302004000   ,SPH0302004000   ,363000
SPH0310400500   ,SPH0310400500   ,250000
SPH0355000700   ,SPH0355000700   ,308000
SPH0355000900   ,SPH0355000900   ,250000
SPH0372000900   ,LOI SO 8 - HP   ,275000
KGB47000100     ,KG6200          ,1990000
KGB47001100     ,KG6104          ,3993000
KGB47001200     ,KG6108          ,5808000
KGB47001300     ,KG6105          ,3872000
KGB47001400     ,KG6109          ,3344000
KGB48000500     ,KG6301H         ,750000
KGB48000600     ,KG6002          ,690000
KGB48001000     ,KG6301          ,390000
KGE05001400     ,KG65            ,2250000
KGE05001400     ,KG65            ,3030000
KGE05004600     ,KG816           ,2662000
KGE18004100     ,DI1818          ,5550000
KGE18004600     ,PT1618          ,5750000
KGE18004601     ,KGE18004601     ,5580000
KGE18005802     ,KGE18005802     ,7900000
KGE18005900     ,GD1818          ,8000000
KGE18006200     ,GD2830          ,11100000
KGH03001111     ,KG-108          ,3850000
KGH03004900     ,KG109A          ,3693000
KGH03004901     ,KGH03004901     ,4900000
KGH03004904     ,KG109AVTU       ,4700000
KGH03005200     ,KG100HQ         ,5528770
KGH03005200     ,KG100HQ         ,5990000
KGH03005300     ,KG123HQ         ,35750000
KGH03005502     ,KG100HAVTU      ,5433200
KGH03005502     ,KG100HAVTU      ,7623000
KGH03006401     ,KG110AVTU       ,5528770
KGH03006501     ,KG-110VTU       ,3992000
KGH03006601     ,KGMC09VTU       ,3300000
KGH03006801     ,KG01G4VTU       ,5050000
KGH03007800     ,KG01G3          ,1500000
KGH03007800     ,KG01G3          ,1639000
KGH03007900     ,KG02G3          ,769000
KGH03009801     ,KG18BLUEVTU     ,2372000
KGH03010301     ,KG07VTU         ,3700000
KGH03010700     ,KG100HG         ,5300000
KGH03010801     ,KG10G4VTU       ,4438650
KGH03011501     ,KG100HBVTU      ,5500000
KGH03011601     ,KG09G4VTU       ,7222000
KGH03012000     ,KG06G4          ,4150000
KGH03012001     ,KG06G4VTU       ,6435000
KGH03012301     ,KG199HQVTU      ,8580000
KGH03012801     ,KG100HKVTU      ,8050000
KGH03014300     ,KG1054T3        ,26020000
KGH03014400     ,KG10G5VTU       ,6930000
KGH03014700     ,KG07G4VTU       ,4587000
KGH03015700     ,KG3500AVTU      ,6160000
KGH03015800     ,KG1054LT-5      ,55099000
KGH03017100     ,KG100ES         ,0
KGH03020100     ,KG02Q           ,204600
KGW44009300     ,KG265NC1        ,4795875
KGW44009300     ,KG265NC1        ,6150000
KGW44009600     ,KG328NC2        ,8250000
KGW44009600     ,KG328NC2        ,9075000
KGW44010000     ,KG409CT1        ,12980000
KGW44010700     ,KG268DM2        ,8800000
KGW44011900     ,KG398C2         ,8100000
SPH0366001600   ,VTUXM           ,650000
SPH0372000600   ,LOI SO 5 - HP   ,242000
SPH0372000700   ,LOI SO 6 - HP   ,275000
SPH0372000800   ,LOI SO 7 - HP   ,280000
KGB47001000     ,KG6202          ,2000000
KGB48000900     ,KG6000          ,550000
KGB48001900     ,KG6306          ,300000
KGB48001900     ,KG6306          ,330000
KGB48002500     ,KG6006          ,600000
KGB48002500     ,KG6006          ,660000
KGB48002700     ,KG6307HN        ,1500000
KGE05001400     ,KG65            ,3000000
KGE05005400     ,KG69A3          ,2100000
KGE05006000     ,KG516           ,1942500
KGE05007900     ,KG70A2          ,3300000
KGE05008000     ,KG70A3          ,2697500
KGE05008200     ,KG72A3          ,3600000
KGE05010000     ,KG77A3          ,1800000
KGE18003900     ,DI1414          ,5203000
KGE18004100     ,DI1818          ,6110000
KGE18005000     ,PT2832          ,13915000
